period,breakeven_published
1979-Q2,195013.3510024957
1979-Q3,194482.96904070236
1979-Q4,193178.59401566797
1980-Q1,188260.42117602914
1980-Q2,182341.74674086436
1980-Q3,175621.8950472401
1980-Q4,168436.55485721023
1981-Q1,160858.85527521372
1981-Q2,155198.6415625518
1981-Q3,150736.38870517316
1981-Q4,147013.7272450916
1982-Q1,143221.3053170134
1982-Q2,140237.77880752436
1982-Q3,137564.9931233369
1982-Q4,134857.04332576867
1983-Q1,131695.8806980066
1983-Q2,129157.27315019666
1983-Q3,127069.79837099364
1983-Q4,124919.45344863276
1984-Q1,122602.58526702053
1984-Q2,121533.96534835522
1984-Q3,121354.71833011984
1984-Q4,121478.42732463597
1985-Q1,121665.83187232587
1985-Q2,123417.94462426205
1985-Q3,125750.94829420964
1985-Q4,127795.7749169566
1986-Q1,129519.38192353403
1986-Q2,131808.28376156228
1986-Q3,132959.56849094486
1986-Q4,133019.7286604303
1987-Q1,131737.7845605047
1987-Q2,129863.85748565331
1987-Q3,127113.11428924616
1987-Q4,123572.66849028876
1988-Q1,119305.10210092422
1988-Q2,115705.45829803123
1988-Q3,112189.36336025379
1988-Q4,108604.88824428913
1989-Q1,104993.26958936827
1989-Q2,103608.54111192495
1989-Q3,103980.60894683743
1989-Q4,106383.23795379818
1990-Q1,110256.00019528417
1990-Q2,116146.73266582431
1990-Q3,121790.05158302595
1990-Q4,126881.69333760861
1991-Q1,130782.46222595772
1991-Q2,135120.6949163475
1991-Q3,139523.09259282984
1991-Q4,143404.9043758051
1992-Q1,146506.5778122276
1992-Q2,149601.42741971853
1992-Q3,151637.37541658786
1992-Q4,152173.11559298393
1993-Q1,151617.702533712
1993-Q2,151390.26448559543
1993-Q3,151054.23063957298
1993-Q4,149777.4653020853
1994-Q1,148208.3529417664
1994-Q2,147614.09930435428
1994-Q3,146867.87066067517
1994-Q4,145770.40217627343
1995-Q1,144470.98343454735
1995-Q2,144368.06164496666
1995-Q3,144765.0098889529
1995-Q4,145125.68938535146
1996-Q1,145300.62110119837
1996-Q2,145844.6609817292
1996-Q3,145697.68097961493
1996-Q4,143956.33014609932
1997-Q1,141259.19776330976
1997-Q2,139628.66366658243
1997-Q3,138879.9625295545
1997-Q4,138295.4252070742
1998-Q1,138798.39134860676
1998-Q2,140859.2158393322
1998-Q3,142877.29623030708
1998-Q4,143999.33345725204
1999-Q1,144156.3185908367
1999-Q2,144036.3616873798
1999-Q3,143294.32029063933
1999-Q4,141278.26537551355
2000-Q1,139321.72333344072
2000-Q2,138823.15812668775
2000-Q3,138022.38878333964
2000-Q4,135015.98071511
2001-Q1,130293.33995745696
2001-Q2,124157.03725203534
2001-Q3,116404.72849875968
2001-Q4,107707.00396089892
2002-Q1,100076.67717862396
2002-Q2,94362.76580289306
2002-Q3,90916.13208020628
2002-Q4,88851.0030919969
2003-Q1,88408.06101771242
2003-Q2,90960.74396808933
2003-Q3,94728.05232833992
2003-Q4,97597.15627976968
2004-Q1,100396.0073454307
2004-Q2,103769.53976072324
2004-Q3,106153.20951283946
2004-Q4,108103.0502018577
2005-Q1,111370.31325531931
2005-Q2,115551.34301600847
2005-Q3,119224.8821244842
2005-Q4,121426.37409727444
2006-Q1,122655.18817275472
2006-Q2,122765.62405058698
2006-Q3,121439.33943242746
2006-Q4,118338.95897311441
2007-Q1,114636.24969077777
2007-Q2,111122.50113832795
2007-Q3,107264.75031442315
2007-Q4,102273.66265362837
2008-Q1,97186.20237643126
2008-Q2,92083.01221458803
2008-Q3,86549.10549224186
2008-Q4,80028.73294692219
2009-Q1,74109.40542930481
2009-Q2,69896.35564207728
2009-Q3,67518.08098852047
2009-Q4,65846.67804458954
2010-Q1,66426.51491420701
2010-Q2,68899.963428522
2010-Q3,71738.38819920184
2010-Q4,73183.2588765637
2011-Q1,74718.05436004048
2011-Q2,76027.19295947472
2011-Q3,76429.26229315378
2011-Q4,75241.5222545566
2012-Q1,73800.70954994069
2012-Q2,72105.00186298045
2012-Q3,70128.78778286617
2012-Q4,67422.30480529336
2013-Q1,65983.84791490612
2013-Q2,66640.03971883531
2013-Q3,68510.22963494124
2013-Q4,70219.1610704778
2014-Q1,72820.94019207751
2014-Q2,75794.3860734816
2014-Q3,78336.56535032205
2014-Q4,79538.2818904495
2015-Q1,81063.32501794847
2015-Q2,83532.61625786897
2015-Q3,85904.4159112661
2015-Q4,87009.26543914505
2016-Q1,87928.55715723695
2016-Q2,88088.34118807937
2016-Q3,86690.08187492851
2016-Q4,83440.17173679327
2017-Q1,79478.1174694783
2017-Q2,75865.9037807605
2017-Q3,72639.04161692719
2017-Q4,69452.3016145962
2018-Q1,67503.29006218922
2018-Q2,67562.33268463351
2018-Q3,68807.85662912724
2018-Q4,70371.56891202876
2019-Q1,72662.8880871418
2019-Q2,75206.03041629991
2019-Q3,75567.13385207024
2019-Q4,71750.13845582872
2020-Q1,63888.374779598154
2020-Q2,55938.98516886302
2020-Q3,50178.00740376413
2020-Q4,47733.48540092483
2021-Q1,51088.3713461948
2021-Q2,61731.46649372041
2021-Q3,75129.35784843014
2021-Q4,88667.81108911971
2022-Q1,102739.38508819851
2022-Q2,117026.00826625312
2022-Q3,129595.48503234939
2022-Q4,140474.62938552166
2023-Q1,149855.50042683183
2023-Q2,158138.69773189156
2023-Q3,163867.8133569535
2023-Q4,164964.78730595793
2024-Q1,161576.73941706851
2024-Q2,154066.14073612634
2024-Q3,142328.83005856868
2024-Q4,127881.35168274639
2025-Q1,117538.28556898967
2025-Q2,100000.96716222142
2025-Q3,76002.31500962196
2025-Q4,54840.31366961028
2026-Q1,6798.187509134242
2026-Q2,6520.438165436477
2026-Q3,7362.711299423002
2026-Q4,8272.939429155076
