Date,Industrial Production (Index) (% MoM),Nonfarm Payrolls (thousands) (% MoM),Real Disp. Personal Income (B$) (% MoM),Real Mfg & Trade Sales (M$) (% MoM)
31-Jan-1993,0.3833,0.2627,-3.5137,0.2502
28-Feb-1993,0.4804,0.2338,0.5640,-0.1283
31-Mar-1993,-0.0874,-0.0391,-0.3855,-0.6342
30-Apr-1993,0.2739,0.2687,0.9303,0.5154
31-May-1993,-0.3792,0.2454,0.0428,0.1583
30-Jun-1993,0.2253,0.1545,-0.2652,0.9202
31-Jul-1993,0.2693,0.2813,0.2759,-0.4850
31-Aug-1993,-0.1206,0.1314,0.1710,0.5111
30-Sep-1993,0.5291,0.2228,-0.2781,0.8866
31-Oct-1993,0.7304,0.2563,-0.3971,0.4262
30-Nov-1993,0.4559,0.2262,0.2980,0.5117
31-Dec-1993,0.5905,0.3014,3.8232,0.3157
31-Jan-1994,0.2874,0.2454,-2.4483,0.1138
28-Feb-1994,0.0583,0.1606,0.1202,0.9105
31-Mar-1994,1.0150,0.4097,0.3111,1.6513
30-Apr-1994,0.5896,0.3033,1.0266,-0.5281
31-May-1994,0.4590,0.2927,0.2862,0.2417
30-Jun-1994,0.6728,0.2779,-0.1339,0.9138
31-Jul-1994,0.1330,0.3225,0.2481,-0.4393
31-Aug-1994,0.6682,0.2562,0.1219,2.3339
30-Sep-1994,0.3141,0.2989,0.4732,-0.4339
31-Oct-1994,0.8013,0.1829,0.8004,0.7603
30-Nov-1994,0.6813,0.3545,-0.0538,0.8772
31-Dec-1994,1.0166,0.2646,0.4114,0.7482
31-Jan-1995,0.1701,0.2845,0.2776,0.4409
28-Feb-1995,-0.1129,0.1621,0.2083,-0.5643
31-Mar-1995,0.1660,0.1832,0.2294,-0.0353
30-Apr-1995,-0.1728,0.1351,0.1657,-0.7511
31-May-1995,0.4899,-0.0171,-0.0013,0.7336
30-Jun-1995,0.3309,0.2091,0.4514,0.9593
31-Jul-1995,-0.4190,0.0776,0.3253,-1.1893
31-Aug-1995,1.3169,0.2247,0.1879,2.0055
30-Sep-1995,0.4025,0.1928,0.4645,-0.1223
31-Oct-1995,-0.1759,0.1297,0.3035,0.0522
30-Nov-1995,0.2632,0.1177,0.4251,0.8153
31-Dec-1995,0.3465,0.1353,0.1100,0.4728
31-Jan-1996,-0.5740,-0.0068,0.1013,-1.0032
29-Feb-1996,1.4529,0.3552,0.8603,0.8995
31-Mar-1996,-0.1225,0.2137,0.2908,0.0498
30-Apr-1996,0.9901,0.1394,0.1755,0.8908
31-May-1996,0.7446,0.2841,0.5042,0.7580
30-Jun-1996,0.7593,0.2282,0.7353,-0.4725
31-Jul-1996,0.0154,0.2077,-0.1180,0.7866
31-Aug-1996,0.5105,0.1490,0.4206,0.3427
30-Sep-1996,0.6240,0.1679,0.3807,0.3053
31-Oct-1996,0.0296,0.2199,0.0729,0.7798
30-Nov-1996,0.9145,0.2334,0.3575,0.7370
31-Dec-1996,0.6387,0.1619,0.4285,-0.7228
31-Jan-1997,0.1584,0.1757,0.4137,1.2814
28-Feb-1997,1.1868,0.2609,0.4590,2.0214
31-Mar-1997,0.6326,0.2610,0.4651,0.0456
30-Apr-1997,0.1172,0.2440,0.1507,0.3335
31-May-1997,0.5524,0.2214,0.5389,-0.0246
30-Jun-1997,0.4585,0.2087,0.3904,1.3372
31-Jul-1997,0.8506,0.2423,0.5040,1.0077
31-Aug-1997,0.9955,-0.0219,0.6456,-0.2838
30-Sep-1997,0.9118,0.3957,0.3378,0.8052
31-Oct-1997,0.8828,0.2820,0.6076,-0.2900
30-Nov-1997,0.7844,0.2426,0.7951,1.0581
31-Dec-1997,0.4249,0.2605,0.6215,-0.2521
31-Jan-1998,0.4374,0.2061,0.9699,0.1940
28-Feb-1998,0.1617,0.1689,0.7446,1.3942
31-Mar-1998,0.0352,0.1183,0.6475,0.4940
30-Apr-1998,0.3425,0.2235,0.4439,0.1355
31-May-1998,0.6570,0.3184,0.5445,0.3410
30-Jun-1998,-0.6017,0.1834,0.6113,-0.4008
31-Jul-1998,-0.3853,0.1078,0.2593,-0.5860
31-Aug-1998,2.0492,0.2643,0.4282,1.0850
30-Sep-1998,-0.0532,0.1563,0.3266,0.9483
31-Oct-1998,0.6813,0.1616,0.2016,0.8445
30-Nov-1998,-0.0758,0.2148,0.4695,0.4284
31-Dec-1998,0.4520,0.2928,0.2076,0.7671
31-Jan-1999,0.4311,0.0815,0.3007,-0.1340
