Date,S&P 500 Daily Log Return (percent)
10-Jan-2025,-1.553164
08-Jan-2025,0.155911
07-Jan-2025,-1.1166
06-Jan-2025,0.552282
03-Jan-2025,1.251729
02-Jan-2025,-0.222635
31-Dec-2024,-0.4294
30-Dec-2024,-1.075969
27-Dec-2024,-1.11173
26-Dec-2024,-0.040571
24-Dec-2024,1.09822
23-Dec-2024,0.72609
20-Dec-2024,1.081048
19-Dec-2024,-0.086547
18-Dec-2024,-2.993655
17-Dec-2024,-0.387144
16-Dec-2024,0.379212
13-Dec-2024,-0.002644
12-Dec-2024,-0.542874
11-Dec-2024,0.813266
10-Dec-2024,-0.296829
09-Dec-2024,-0.616318
06-Dec-2024,0.249232
05-Dec-2024,-0.187146
04-Dec-2024,0.603312
03-Dec-2024,0.045135
02-Dec-2024,0.244546
29-Nov-2024,0.559218
27-Nov-2024,-0.380854
26-Nov-2024,0.570574
25-Nov-2024,0.301588
22-Nov-2024,0.346198
21-Nov-2024,0.532624
20-Nov-2024,0.002197
19-Nov-2024,0.395577
18-Nov-2024,0.391016
15-Nov-2024,-1.329146
14-Nov-2024,-0.606812
13-Nov-2024,0.023226
12-Nov-2024,-0.289687
11-Nov-2024,0.096858
08-Nov-2024,0.37498
07-Nov-2024,0.740374
06-Nov-2024,2.498123
05-Nov-2024,1.219106
04-Nov-2024,-0.281607
01-Nov-2024,0.408423
31-Oct-2024,-1.879018
30-Oct-2024,-0.330569
29-Oct-2024,0.161284
28-Oct-2024,0.264795
25-Oct-2024,-0.029954
24-Oct-2024,0.214348
23-Oct-2024,-0.923378
22-Oct-2024,-0.0475
21-Oct-2024,-0.182444
18-Oct-2024,0.396374
17-Oct-2024,-0.017118
16-Oct-2024,0.466816
15-Oct-2024,-0.763851
14-Oct-2024,0.767806
11-Oct-2024,0.603361
10-Oct-2024,-0.207223
09-Oct-2024,0.70882
08-Oct-2024,0.964272
07-Oct-2024,-0.963228
04-Oct-2024,0.893028
03-Oct-2024,-0.168281
02-Oct-2024,0.013837
01-Oct-2024,-0.936785
30-Sep-2024,0.422759
27-Sep-2024,-0.125397
26-Sep-2024,0.403048
25-Sep-2024,-0.186291
24-Sep-2024,0.250797
